Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Längdskidåkning klassisk stil,2025-12-13 16:29:34,false,"Härjedalen Längdskidåkning klassisk stil","3.96","281","00:17:28","152","159","3.4","98","224","13.6","35.4","52","54","0.00","0.0","10.5","474","48.9% vänster/51.1% höger","0.0","1,016","Nej","00:17:28","1","--","--","00:17:00","00:17:28","671","707"
Längdskidåkning klassisk stil,2025-12-13 13:45:29,false,"Härjedalen Längdskidåkning klassisk stil","18.17","1,060","01:43:17","137","160","1.0","87","248","10.6","38.2","376","373","0.00","0.0","10.1","519","48.6% vänster/51.4% höger","0.0","5,462","Nej","00:13:12","4","--","--","01:25:00","01:43:17","672","817"
Längdskidåkning klassisk stil,2025-12-13 08:59:28,false,"Härjedalen Längdskidåkning klassisk stil","10.50","1,068","01:57:17","119","157","2.7","96","250","5.4","33.2","70","70","0.00","0.0","7.7","530","49.2% vänster/50.8% höger","0.0","6,276","Nej","00:02:21.5","3","--","--","01:00:59","01:57:17","672","715"
Längdskidåkning klassisk stil,2025-12-12 14:13:13,false,"Härjedalen Längdskidåkning klassisk stil","10.12","978","01:56:58","115","150","2.8","98","252","5.2","33.8","155","153","0.00","0.0","6.3","493","46.0% vänster/54.0% höger","0.0","6,260","Nej","00:00:38.9","3","--","--","00:59:24","01:56:58","671","707"
Längdskidåkning klassisk stil,2025-12-12 09:30:03,false,"Härjedalen Längdskidåkning klassisk stil","18.19","1,187","01:43:12","132","152","3.7","84","255","10.6","41.0","389","383","0.00","0.0","12.6","574","50.4% vänster/49.6% höger","0.0","4,896","Nej","00:15:28","4","--","--","01:22:37","01:43:12","641","816"
Längdskidåkning klassisk stil,2025-12-11 13:56:11,false,"Härjedalen Längdskidåkning klassisk stil","13.94","1,346","02:14:53","127","162","3.5","100","248","6.2","34.0","174","175","0.00","0.0","7.3","495","48.2% vänster/51.8% höger","0.0","2,222","Nej","00:35:37","3","--","--","01:16:02","02:14:55","670","807"
Längdskidåkning klassisk stil,2025-12-11 10:52:59,false,"Härjedalen Längdskidåkning klassisk stil","6.61","570","00:39:49","141","162","3.9","86","236","10.0","32.1","116","128","0.00","0.0","9.3","530","45.2% vänster/54.8% höger","0.0","12","Nej","00:08:33.5","2","--","--","00:32:35","00:39:49","671","797"
Cykling,2025-12-09 16:39:01,false,"Lund Cykling","8.37","330","00:32:00","116","136","2.4","--","--","15.7","30.6","19","68","--","--","--","--","--","0.0","--","Nej","00:15:41","2","--","--","00:27:48","00:32:00","14","68"
Cykling,2025-12-09 07:14:50,false,"Staffanstorp Cykling","8.36","339","00:32:21","123","148","3.0","--","--","15.5","29.6","52","19","--","--","--","--","--","0.0","--","Nej","00:15:46","2","--","--","00:30:58","00:32:21","14","70"
Cykling,2025-12-08 07:07:44,false,"Staffanstorp Cykling","8.29","297","00:35:12","107","144","1.7","--","--","14.1","32.4","51","21","--","--","--","--","--","0.0","--","Nej","00:15:59","2","--","--","00:29:46","00:35:12","-3","71"
